trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
125,False,"{'a': 0.5, 'e': 0.36999999999999944}",20,0,-77.99325902675945,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.36499999999999944}",20,0,-137.65783209663715,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
127,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,5,-88.37536504581338,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
128,False,"{'a': 0.5, 'e': 0.3549999999999994}",30,0,-136.17812788682713,"{0: 17, 1: 1, 2: 11, 3: 0, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,0,-206.3286331972239,"{0: 15, 1: 3, 2: 1, 3: 2, 4: 4}",0
130,False,"{'a': 0.5, 'e': 0.3449999999999994}",20,4,-84.9407607555862,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,0,-55.87544818821279,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.3349999999999994}",25,10,4.925932385131042,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.3299999999999994}",25,0,-80.16433696707915,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.3249999999999994}",20,0,-111.5659367186052,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
135,False,"{'a': 0.5, 'e': 0.3199999999999994}",30,0,-224.40776414617181,"{0: 18, 1: 0, 2: 8, 3: 0, 4: 4}",0
136,False,"{'a': 0.5, 'e': 0.3149999999999994}",30,0,-200.59339264718935,"{0: 18, 1: 0, 2: 8, 3: 1, 4: 3}",0
137,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,6,2.416534044935023,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.3049999999999994}",25,0,-103.82637248605742,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,0,-159.08685502148612,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
140,False,"{'a': 0.5, 'e': 0.2949999999999994}",25,0,-248.69054464919705,"{0: 12, 1: 0, 2: 8, 3: 1, 4: 4}",0
141,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,2,-10.792753637725854,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.28499999999999936}",25,0,-277.33585977871604,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 6}",0
