trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
161,False,"{'a': 0.999, 'e': 0.8512234991370274}",20,5,-41.20826743039417,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
162,False,"{'a': 0.999, 'e': 0.8503722756378904}",25,-91,-411.94958327117934,"{0: 78, 1: 10, 2: 20, 3: 2, 4: 6}",0
163,False,"{'a': 0.999, 'e': 0.8495219033622525}",25,13,-10.98948495099689,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
164,False,"{'a': 0.999, 'e': 0.8486723814588902}",20,8,-80.74574283151377,"{0: 5, 1: 2, 2: 4, 3: 0, 4: 1}",1
165,False,"{'a': 0.999, 'e': 0.8478237090774313}",25,-41,-325.039488878932,"{0: 43, 1: 6, 2: 8, 3: 4, 4: 5}",0
166,False,"{'a': 0.999, 'e': 0.8469758853683539}",20,2,-169.7519007742316,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 4}",1
167,False,"{'a': 0.999, 'e': 0.8461289094829856}",25,-39,-314.3424897695922,"{0: 38, 1: 9, 2: 11, 3: 1, 4: 5}",0
168,False,"{'a': 0.999, 'e': 0.8452827805735026}",30,-85,-560.4307945707252,"{0: 73, 1: 10, 2: 18, 3: 6, 4: 8}",0
169,False,"{'a': 0.999, 'e': 0.8444374977929291}",25,14,-15.574604572243851,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.999, 'e': 0.8435930602951361}",20,-100,-627.721481892221,"{0: 76, 1: 6, 2: 23, 3: 6, 4: 9}",0
171,False,"{'a': 0.999, 'e': 0.842749467234841}",20,-100,-565.9551161872521,"{0: 78, 1: 12, 2: 15, 3: 6, 4: 9}",0
172,False,"{'a': 0.999, 'e': 0.8419067177676062}",25,-74,-573.0406515442264,"{0: 61, 1: 9, 2: 15, 3: 4, 4: 10}",0
173,False,"{'a': 0.999, 'e': 0.8410648110498385}",20,16,6.050573387669203,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
