trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.5, 'e': 0.5149999999999996}",20,0,-60.3227607977929,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.5099999999999996}",30,0,-87.78628392961447,"{0: 19, 1: 1, 2: 10, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.5049999999999996}",20,7,-91.12369643690991,"{0: 6, 1: 1, 2: 4, 3: 1, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.49999999999999956}",30,0,-159.3160690906553,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
100,False,"{'a': 0.5, 'e': 0.49499999999999955}",20,0,-62.073115395771666,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.48999999999999955}",20,0,-52.56712215412099,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.48499999999999954}",20,0,-108.62226722140564,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,0,-45.52409636842523,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,0,-71.37679794228598,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,0,-101.55517958625131,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.4649999999999995}",20,0,-93.67390628860994,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,0,-114.72275008245713,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.4549999999999995}",25,0,-147.6602250058846,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.4499999999999995}",30,0,-189.04176657471112,"{0: 18, 1: 0, 2: 9, 3: 0, 4: 3}",0
110,False,"{'a': 0.5, 'e': 0.4449999999999995}",20,6,-79.27773504318755,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,11,-76.96350408665695,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.4349999999999995}",20,0,-136.9187272451291,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
113,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,11,-20.909270857132825,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.4249999999999995}",20,0,-154.30154340729356,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
115,False,"{'a': 0.5, 'e': 0.4199999999999995}",30,0,-165.4081549353112,"{0: 18, 1: 0, 2: 9, 3: 1, 4: 2}",0
116,False,"{'a': 0.5, 'e': 0.4149999999999995}",35,0,-193.00777589201306,"{0: 21, 1: 1, 2: 9, 3: 2, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,0,-138.37933021271724,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.40499999999999947}",30,0,-119.73967840167833,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,0,-133.81963456990874,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
120,False,"{'a': 0.5, 'e': 0.39499999999999946}",20,0,-65.5569320467934,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.38999999999999946}",20,0,-101.8539450383737,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
122,False,"{'a': 0.5, 'e': 0.38499999999999945}",20,0,-2.1514917807742604,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,9,-68.8205663432057,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.37499999999999944}",25,0,-112.41385738681268,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.36999999999999944}",30,0,-220.37301294392205,"{0: 16, 1: 1, 2: 9, 3: 1, 4: 3}",0
126,False,"{'a': 0.5, 'e': 0.36499999999999944}",35,1,-149.63969631743893,"{0: 24, 1: 0, 2: 6, 3: 2, 4: 2}",1
127,False,"{'a': 0.5, 'e': 0.35999999999999943}",25,0,-175.49406462827162,"{0: 12, 1: 0, 2: 11, 3: 0, 4: 2}",0
128,False,"{'a': 0.5, 'e': 0.3549999999999994}",20,0,-51.5462425480135,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,0,-85.78152949334947,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.3449999999999994}",20,14,-45.087889582758834,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
